snapped_at,price,market_cap,total_volume
2018-09-20 00:00:00 UTC,0.9992731371680119,49966670.69426266,320362.2248569501
2018-09-21 00:00:00 UTC,1.0007117073805099,50035585.36902549,156985.02311081308
2018-09-22 00:00:00 UTC,1.0028152956700975,50140764.78350487,408519.96246034844
2018-09-23 00:00:00 UTC,1.0096390483589228,50481952.41794614,195660.78039354717
2018-09-24 00:00:00 UTC,1.0125614819566047,50628074.097830236,324081.33292040735
2018-09-25 00:00:00 UTC,1.003503834700068,50185194.75497401,295665.95051457966
2018-09-26 00:00:00 UTC,0.9920090393685354,49589316.42181254,352576.2559130508
2018-09-27 00:00:00 UTC,0.9968318945921225,49844372.553571895,254891.66375403214
2018-09-28 00:00:00 UTC,0.999811283401648,49990564.170082405,164011.15981627646
2018-09-29 00:00:00 UTC,0.9959846360595669,49799231.802978344,278762.14817424794
2018-09-30 00:00:00 UTC,0.9969307793017667,49847535.991186,265871.28440123604
2018-10-01 00:00:00 UTC,0.9823168714116849,49115843.570584245,87543.07052740853
2018-10-02 00:00:00 UTC,1.0012910911585053,50086247.60430694,46616.75044814864
2018-10-03 00:00:00 UTC,0.9927457318504361,49599131.797312975,222916.80785588064
2018-10-04 00:00:00 UTC,1.0108500607359714,50535255.3907815,182998.72632620562
2018-10-05 00:00:00 UTC,1.0034916118557553,50174580.592787765,225241.5265961482
2018-10-06 00:00:00 UTC,1.00410410742985,50191961.70529675,234405.33987331216
2018-10-07 00:00:00 UTC,1.0050388561999308,50251780.241509944,64722.498723060955
2018-10-08 00:00:00 UTC,1.0006603639383553,50033694.659915626,86254.06205641212
2018-10-09 00:00:00 UTC,1.002406985420573,50120349.27102865,673861.6936998243
2018-10-10 00:00:00 UTC,1.0005249869266737,50029315.61656352,544298.9354504577
2018-10-11 00:00:00 UTC,1.0021880412967665,50110475.0886923,1479001.3848262704
2018-10-12 00:00:00 UTC,1.0084520625996551,50422603.129982755,8648670.549821768
2018-10-13 00:00:00 UTC,1.0019322230775818,50096611.15387909,296753.89639529015
2018-10-14 00:00:00 UTC,1.0065805187605414,50328914.70979542,199316.04191027963
2018-10-15 00:00:00 UTC,1.0028597937380561,50131926.72913667,219410.58987523674
2018-10-16 00:00:00 UTC,1.0165909075845048,50825945.19950422,1863546.3939125768
2018-10-17 00:00:00 UTC,1.0256469250670497,51279136.37774537,215724.3631931124
2018-10-18 00:00:00 UTC,1.0291635854013141,51444545.76409786,243401.25486718057
2018-10-19 00:00:00 UTC,1.003438657725197,50171932.886259854,457256.04453780054
2018-10-20 00:00:00 UTC,1.00673049434808,50335042.96741713,172088.141837514
2018-10-21 00:00:00 UTC,1.0218948058280697,51091633.455560304,119175.35748378858
2018-10-22 00:00:00 UTC,1.0145479048454227,50730741.362338424,81502.31578613189
2018-10-23 00:00:00 UTC,1.0082473885080856,50443820.4334149,96173.5241712312
2018-10-24 00:00:00 UTC,1.0102586137672038,50512930.68836019,152028.8346661844
2018-10-25 00:00:00 UTC,1.000653073792161,50032653.68960805,174740.59199036303
2018-10-26 00:00:00 UTC,1.0027591412667343,50143121.565468155,122303.87635500517
2018-10-27 00:00:00 UTC,1.00665839205842,50322392.139420636,104657.03143921972
2018-10-28 00:00:00 UTC,1.0026119072452429,50131666.99766134,84991.31007042668
2018-10-29 00:00:00 UTC,1.0072109538397387,50344163.708799474,75804.21570448123
2018-10-30 00:00:00 UTC,0.9874213690048649,65838389.4135888,126985.656200841
2018-10-31 00:00:00 UTC,1.007502754489315,67179087.4730417,115873.46220859299
2018-11-01 00:00:00 UTC,1.0070422224236333,67144828.71203457,123798.77630857438
2018-11-02 00:00:00 UTC,1.01990774872368,68145197.10547647,94822.76529691454
2018-11-03 00:00:00 UTC,1.006357287647594,66666314.26691207,243530.2919146185
2018-11-04 00:00:00 UTC,1.0118129867174483,67464751.64940603,141810.18155382577
2018-11-05 00:00:00 UTC,0.9937339455302957,66257067.37954649,138635.49714529316
2018-11-06 00:00:00 UTC,0.9937597516214487,66261014.35979949,170158.6482447321
2018-11-07 00:00:00 UTC,0.9967543887489088,66394563.97337532,129943.30957685769
2018-11-08 00:00:00 UTC,1.0013494903842266,66638377.28947597,181275.8142549966
2018-11-09 00:00:00 UTC,1.0091685269982533,67462943.8959261,94655.49420085126
2018-11-10 00:00:00 UTC,1.0083843191229644,67208245.4839615,134785.18320770207
2018-11-11 00:00:00 UTC,1.0027815644761817,66862562.64160856,105888.70302114001
2018-11-12 00:00:00 UTC,1.0206452222207485,68088657.01242328,131569.65990787544
2018-11-13 00:00:00 UTC,1.0082652823970548,67130316.49924535,144095.08534975274
2018-11-14 00:00:00 UTC,1.0135724432750628,67597233.55620533,222551.35272059476
2018-11-15 00:00:00 UTC,1.0244360284660725,68071275.09436677,893842.402738998
2018-11-16 00:00:00 UTC,1.0096444423667694,74296996.35804287,523308.06775054964
2018-11-17 00:00:00 UTC,1.0128513033410338,77358404.50395145,318920.9155398658
2018-11-18 00:00:00 UTC,1.0134898647955688,77895435.84928688,409233.6868560461
2018-11-19 00:00:00 UTC,1.01185586381291,77745524.89890416,229396.316730197
2018-11-20 00:00:00 UTC,1.0126318792862246,75084985.2712521,1007566.3591222533
2018-11-21 00:00:00 UTC,1.0328486174625096,67907487.15654282,668923.3305043014
2018-11-22 00:00:00 UTC,1.0152842544566067,67022205.2994211,663534.1649097999
2018-11-23 00:00:00 UTC,1.004022598121783,67463707.81930122,338116.7669521994
2018-11-24 00:00:00 UTC,1.0221660509447108,67720732.26357631,550644.6147040888
2018-11-25 00:00:00 UTC,1.0310315726471289,67759814.07260634,433927.1322184887
2018-11-26 00:00:00 UTC,1.0289208027959116,59864612.493833944,831832.9531199004
2018-11-27 00:00:00 UTC,1.027221484442611,60456901.3803118,585462.9486429844
2018-11-28 00:00:00 UTC,1.019118253091155,61423512.71116031,387069.1238225467
2018-11-29 00:00:00 UTC,1.0092479710721403,61263804.81952322,722149.85177001
2018-11-30 00:00:00 UTC,1.0089002865556707,61896582.10767314,726769.347028087
2018-12-01 00:00:00 UTC,1.0061142539999983,61762375.664424144,403128.0538660516
2018-12-02 00:00:00 UTC,1.0007378592154612,61794346.380680956,206246.22435896564
2018-12-03 00:00:00 UTC,1.0011149859226285,62584827.21952739,244575.31717679297
2018-12-04 00:00:00 UTC,1.0090822556984373,63313931.08762287,361051.44364158413
2018-12-05 00:00:00 UTC,1.0039487910355351,63182415.34216236,296854.77270422416
2018-12-06 00:00:00 UTC,1.0062232436655454,63804670.47344893,383477.3155095757
2018-12-07 00:00:00 UTC,0.9941908859927229,58166510.86273403,550829.0268094746
2018-12-08 00:00:00 UTC,1.0077007527205102,54596119.531594254,1250074.512512614
2018-12-09 00:00:00 UTC,1.006014504470229,54420303.53357044,337107.6705486129
2018-12-10 00:00:00 UTC,1.0081191613490497,55230182.768585525,407523.2599546774
2018-12-11 00:00:00 UTC,1.0070909120033338,55517260.492285974,157952.8960622411
2018-12-12 00:00:00 UTC,1.0030607652489054,55209334.33324252,193190.7775560343
2018-12-13 00:00:00 UTC,1.008423350839868,55485941.54889864,194157.98532022038
2018-12-14 00:00:00 UTC,1.0095209499228464,54827209.280727796,180848.8919806984
2018-12-15 00:00:00 UTC,1.0158207682405787,55356702.11665144,320379.13763713406
2018-12-16 00:00:00 UTC,1.0205446858914122,55336816.84266365,417621.4099297395
2018-12-17 00:00:00 UTC,1.003554073613072,54449980.35054974,266693.451994363
2018-12-18 00:00:00 UTC,1.009613387023076,55281484.84002014,275413.8315125001
2018-12-19 00:00:00 UTC,1.0016747518051634,55061177.629598714,265296.45110635663
2018-12-20 00:00:00 UTC,1.0065737509011228,56778366.2286589,778199.6037616386
2018-12-21 00:00:00 UTC,1.009319982462069,58318649.25249291,326873.6296257986
2018-12-22 00:00:00 UTC,1.0011045977617228,58921638.24637949,357259.9918063542
2018-12-23 00:00:00 UTC,1.001937344948484,61113295.06586159,377089.13138439856
2018-12-24 00:00:00 UTC,0.9870344018729178,63509725.2042062,1018334.2886798588
2018-12-25 00:00:00 UTC,0.9832003896640896,65480197.33018635,885949.5049853115
